archiveName,numberOfWords,processingTime,algorithm,insertionTime,searchTime,Altura
dom_casmurro.txt,10111,0.05500740000024962,AVL,0.09127310002622835,1.570000131323468e-05,16
dom_casmurro.txt,10111,0.05500740000024962,BST,0.022962100090808235,1.990000055229757e-05,29
dom_casmurro.txt,10111,0.05500740000024962,List,0.0013099000843794784,0.0013633999988087453,N/A
esau_e_jacob.txt,10470,0.06917780000003404,AVL,0.09031570012484735,1.7700000171316788e-05,16
esau_e_jacob.txt,10470,0.06917780000003404,BST,0.024481499971443554,2.1699999706470408e-05,30
esau_e_jacob.txt,10470,0.06917780000003404,List,0.0013450999704218702,0.00138399999923422,N/A
quincas_borba.txt,11903,0.07199800000307732,AVL,0.11206090012274217,1.920000067912042e-05,17
quincas_borba.txt,11903,0.07199800000307732,BST,0.029957000097056152,2.5800000003073364e-05,32
quincas_borba.txt,11903,0.07199800000307732,List,0.0015072000242071226,0.0020440000007511117,N/A
o_cortico.txt,12870,0.06870829999934358,AVL,0.11378439980217081,1.779999911377672e-05,16
o_cortico.txt,12870,0.06870829999934358,BST,0.03344730017670372,2.390000008745119e-05,31
o_cortico.txt,12870,0.06870829999934358,List,0.0016450999701191904,0.0016818000003695488,N/A
biblia.txt,33524,0.7550258999999642,AVL,0.3166834998737613,1.9499999325489625e-05,18
biblia.txt,33524,0.7550258999999642,BST,0.10523699983241386,2.640000093379058e-05,36
biblia.txt,33524,0.7550258999999642,List,0.0041626000274845865,0.006317999999737367,N/A
dicionario.txt,238439,2.1685388000005332,AVL,3.174715300097887,5.6499997299397364e-05,22
dicionario.txt,238439,2.1685388000005332,BST,1.5850193992009736,0.00011010000162059441,43
dicionario.txt,238439,2.1685388000005332,List,0.03399149921096978,0.046951299998909235,N/A
